Date,Open,High,Low,Close,Volume
05/06/2025,"1,908.80","1,908.80","1,839.55","1,846.95","31,316"
05/05/2025,"1,866.05","1,910.00","1,858.00","1,884.80","18,378"
05/02/2025,"1,909.50","1,909.50","1,860.40","1,865.45","9,054"
04/30/2025,"1,885.90","1,901.70","1,875.10","1,887.10","14,487"
04/29/2025,"1,930.05","1,942.70","1,885.95","1,892.90","90,729"
04/28/2025,"1,938.00","1,943.20","1,909.00","1,925.55","16,221"
04/25/2025,"2,068.05","2,069.45","1,930.00","1,937.65","82,411"
04/24/2025,"2,063.95","2,123.30","2,053.00","2,068.00","36,239"
04/23/2025,"2,089.95","2,092.30","2,043.00","2,051.85","6,559"
04/22/2025,"2,092.90","2,103.00","2,071.95","2,080.65","8,013"
04/21/2025,"2,061.55","2,097.00","2,055.35","2,089.00","5,779"
04/17/2025,"2,068.45","2,068.45","2,046.20","2,061.55","6,037"
04/16/2025,"2,052.00","2,062.50","2,040.50","2,058.70","9,784"
04/15/2025,"2,001.15","2,051.30","2,001.15","2,048.20","14,057"
04/11/2025,"1,987.35","2,014.35","1,977.50","2,008.75","6,542"
04/09/2025,"2,014.90","2,014.90","1,952.70","1,985.90","3,939"
04/08/2025,"1,942.00","1,983.00","1,940.15","1,973.20","4,618"
04/07/2025,"1,854.05","1,940.90","1,854.05","1,928.55","19,321"
04/04/2025,"1,984.20","1,994.95","1,953.80","1,967.30","4,179"
04/03/2025,"1,950.05","1,998.90","1,948.00","1,993.75","11,324"
04/02/2025,"1,958.00","1,974.60","1,929.25","1,964.50","4,758"
04/01/2025,"1,940.20","1,961.45","1,935.00","1,951.35","7,773"
03/28/2025,"1,964.65","1,985.25","1,924.00","1,943.10","85,008"
03/27/2025,"1,936.65","1,967.75","1,922.55","1,963.85","24,457"
03/26/2025,"1,947.55","1,954.00","1,923.00","1,934.95","6,566"
03/25/2025,"1,958.95","1,967.50","1,922.95","1,930.30","17,286"
03/24/2025,"1,929.60","1,943.60","1,912.85","1,934.70","15,691"
03/21/2025,"1,894.85","1,920.00","1,880.55","1,915.35","5,260"
03/20/2025,"1,914.70","1,914.70","1,886.00","1,888.50","5,838"
03/19/2025,"1,894.95","1,911.20","1,884.00","1,898.95","136,323"
03/18/2025,"1,895.75","1,904.75","1,875.35","1,880.30","6,786"
03/17/2025,"1,855.05","1,890.00","1,855.05","1,882.50","10,908"
03/13/2025,"1,871.65","1,873.95","1,848.00","1,855.05","98,910"
03/12/2025,"1,883.00","1,892.10","1,826.60","1,868.15","7,384"
03/11/2025,"1,840.00","1,890.00","1,839.95","1,877.05","6,758"
03/10/2025,"1,885.00","1,917.60","1,855.00","1,860.20","7,059"
03/07/2025,"1,883.95","1,895.20","1,859.90","1,884.10","8,202"
03/06/2025,"1,884.95","1,884.95","1,857.00","1,869.15","6,503"
03/05/2025,"1,821.00","1,862.15","1,821.00","1,856.65","10,525"
03/04/2025,"1,813.05","1,836.15","1,800.90","1,831.65","5,370"
03/03/2025,"1,829.30","1,847.00","1,778.80","1,823.60","11,406"
02/28/2025,"1,824.45","1,825.00","1,796.00","1,818.75","6,206"
02/27/2025,"1,835.90","1,835.95","1,807.80","1,824.60","10,237"
02/25/2025,"1,851.15","1,859.30","1,830.00","1,835.90","5,918"
02/24/2025,"1,883.00","1,886.40","1,848.00","1,851.05","5,860"
02/21/2025,"1,904.35","1,904.35","1,869.30","1,883.80","3,218"
02/20/2025,"1,862.55","1,890.00","1,854.50","1,886.80","3,647"
02/19/2025,"1,849.95","1,904.40","1,849.80","1,866.30","10,190"
02/18/2025,"1,905.00","1,905.00","1,820.15","1,883.85","82,360"
02/17/2025,"1,873.00","1,916.00","1,841.85","1,911.10","6,431"
02/14/2025,"1,923.85","1,923.85","1,853.35","1,871.35","12,115"
02/13/2025,"1,950.00","1,956.75","1,910.95","1,914.75","6,674"
02/12/2025,"1,946.05","1,949.35","1,868.25","1,929.10","5,273"
02/11/2025,"1,964.95","1,966.50","1,921.70","1,934.95","5,122"
02/10/2025,"2,019.35","2,019.35","1,959.00","1,962.05","4,819"
02/07/2025,"1,995.45","2,019.00","1,971.20","1,998.05","8,139"
02/06/2025,"2,058.05","2,058.05","1,986.10","1,995.35","13,679"
02/05/2025,"2,028.05","2,064.80","2,023.00","2,047.25","57,618"
02/04/2025,"2,005.85","2,044.90","1,999.20","2,025.45","6,518"
02/03/2025,"1,984.30","1,994.75","1,955.00","1,989.65","5,392"
01/31/2025,"1,998.00","2,016.85","1,986.80","2,007.05","17,574"
