Date,Open,High,Low,Close,Volume
05/02/2025,"3,474.50","3,491.80","3,421.10","3,443.80","54,402"
04/30/2025,"3,471.50","3,509.60","3,367.85","3,429.65","52,154"
04/29/2025,"3,444.10","3,495.00","3,431.20","3,471.50","107,574"
04/28/2025,"3,431.00","3,457.95","3,405.00","3,443.55","69,145"
04/25/2025,"3,402.60","3,477.55","3,402.60","3,447.35","67,985"
04/24/2025,"3,401.90","3,412.30","3,389.00","3,401.25","60,547"
04/23/2025,"3,358.05","3,420.00","3,337.55","3,412.30","153,398"
04/22/2025,"3,324.95","3,333.70","3,294.45","3,318.05","170,295"
04/21/2025,"3,293.95","3,353.85","3,285.85","3,321.60","135,470"
04/17/2025,"3,240.00","3,304.00","3,218.50","3,298.95","70,459"
04/16/2025,"3,274.75","3,278.20","3,230.10","3,272.75","87,689"
04/15/2025,"3,300.05","3,310.00","3,240.20","3,247.70","161,796"
04/11/2025,"3,290.00","3,298.40","3,205.25","3,232.30","229,229"
04/09/2025,"3,276.00","3,276.00","3,215.90","3,246.10","131,136"
04/08/2025,"3,299.00","3,348.90","3,255.30","3,293.55","263,659"
04/07/2025,"3,060.25","3,290.00","3,060.25","3,276.60","274,432"
04/04/2025,"3,366.95","3,391.30","3,295.60","3,299.45","171,571"
04/03/2025,"3,485.40","3,498.00","3,396.10","3,403.90","207,922"
04/02/2025,"3,550.35","3,563.70","3,530.05","3,545.00","32,290"
04/01/2025,"3,588.95","3,588.95","3,524.00","3,550.35","71,234"
03/28/2025,"3,648.00","3,660.00","3,596.05","3,604.45","70,765"
03/27/2025,"3,624.65","3,662.85","3,610.00","3,651.65","30,955"
03/26/2025,"3,661.00","3,679.90","3,625.00","3,635.50","29,338"
03/25/2025,"3,649.95","3,708.90","3,638.05","3,657.70","140,545"
03/24/2025,"3,585.05","3,649.60","3,566.65","3,631.55","85,061"
03/21/2025,"3,499.95","3,615.00","3,466.60","3,579.40","68,893"
03/20/2025,"3,508.05","3,577.55","3,508.05","3,562.80","113,648"
03/19/2025,"3,549.00","3,549.00","3,463.05","3,497.15","157,024"
03/18/2025,"3,503.00","3,556.45","3,479.00","3,552.65","78,586"
03/17/2025,"3,508.50","3,610.30","3,478.00","3,497.25","91,119"
03/13/2025,"3,506.00","3,524.15","3,484.50","3,512.35","21,598"
03/12/2025,"3,564.95","3,565.30","3,489.60","3,503.60","37,641"
03/11/2025,"3,553.25","3,589.55","3,536.90","3,574.90","48,906"
03/10/2025,"3,610.20","3,623.45","3,582.10","3,588.10","40,546"
03/07/2025,"3,624.95","3,624.95","3,575.00","3,611.30","30,644"
